site_id,model,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw,fold_count,mean_elapsed_seconds
1. Load Profile (With Solar Installed) SoL,direct_lgbm_md_risk_smoke,46.01712115791635,68.81033619370362,25.44415733294739,6.101039146538572,6.4965093096516595,6.97948605827788,10.038205774459417,7.27125557015459,0.3033088235294118,1.0,0.4653679653679653,0.0,5.5,0.5,9.0,8.5,11.874973352574102,2,73.77074844999879
1. Load Profile (With Solar Installed) SoL,direct_lgbm_quantile_p50_smoke,46.01712115791635,68.81033619370362,25.44415733294739,6.101039146538572,6.4965093096516595,6.97948605827788,10.038205774459417,7.27125557015459,0.47916666666666663,0.7,0.5664335664335665,1.5,1.0,0.5,10.0,8.5,11.874973352574102,2,73.77074844999879
1. Load Profile (With Solar Installed) SoL,direct_lgbm_quantile_p80_smoke,64.124938283858,89.15553292977225,63.012892229265674,8.50442142579449,9.003117755703533,9.97658912908122,13.0064382688133,9.421559096123662,0.8,0.8,0.8,1.0,0.0,0.7,10.0,3.5,10.797473774109676,2,73.77074844999879
1. Load Profile (With Solar Installed) SoL,direct_lgbm_quantile_p90_smoke,212.67342395528772,244.27152384756556,212.5046910423335,28.193608385720587,26.1140605419804,32.11607185405296,35.62395246490171,25.793069153246318,0.3,0.9,0.45,0.5,6.0,0.2,24.0,15.0,49.01044342083662,2,73.77074844999879
2. Load Profile (No Solar) E,direct_lgbm_md_risk_smoke,85.80167937070298,104.37650885708054,-18.14151658205136,11.87448764880502,11.876385739277985,11.749105436082036,14.623798456024485,11.132237003199165,0.10527482269503546,1.0,0.19049346879535556,0.0,33.5,0.1,15.5,8.0,220.97460548253196,2,78.13385490000655
2. Load Profile (No Solar) E,direct_lgbm_quantile_p50_smoke,85.80167937070298,104.37650885708054,-18.14151658205136,11.87448764880502,11.876385739277985,11.749105436082036,14.623798456024485,11.132237003199165,0.09523809523809523,0.4,0.15384615384615385,3.0,9.5,0.3,6.5,8.0,220.97460548253196,2,78.13385490000655
2. Load Profile (No Solar) E,direct_lgbm_quantile_p80_smoke,111.40541897131087,131.18065273243806,85.95928274563234,15.434884338557335,15.094652845170565,16.84179592374178,18.394366941878708,14.000801617879626,0.09375,0.3,0.14285714285714285,3.5,9.0,0.2,19.0,9.5,114.11872989497652,2,78.13385490000655
2. Load Profile (No Solar) E,direct_lgbm_quantile_p90_smoke,268.1564446443794,285.910128972203,268.1564446443794,37.18369500923367,32.102317202925164,39.751864926292484,40.138751771734206,30.545926226436038,0.10416666666666667,1.0,0.18867924528301885,0.0,34.0,0.1,15.5,14.5,53.156444644379405,2,78.13385490000655
3. Load Profile (No Solar) SuN,direct_lgbm_md_risk_smoke,50.393803004528124,70.06355390817606,-49.84895912573327,42.928802568910434,42.76360308408926,32.531325668572954,89.33857290832589,32.94829669111584,0.3708791208791209,1.0,0.5409356725146199,0.0,2.5,0.5,2.0,7.0,129.7363561192194,2,4128.356299100007
3. Load Profile (No Solar) SuN,direct_lgbm_quantile_p50_smoke,50.393803004528124,70.06355390817606,-49.84895912573327,42.928802568910434,42.76360308408926,32.531325668572954,89.33857290832589,32.94829669111584,0.35625,0.7,0.4380952380952381,1.5,2.0,0.2,8.0,7.0,129.7363561192194,2,4128.356299100007
3. Load Profile (No Solar) SuN,direct_lgbm_quantile_p80_smoke,35.01966591453686,51.37899467090709,-29.777405597656326,31.56023241256596,29.051041637917393,23.44018667024006,69.7819185981548,26.340077560137193,0.16666666666666666,0.5,0.25,2.5,5.0,0.0,27.0,13.0,77.89964337026015,2,4128.356299100007
3. Load Profile (No Solar) SuN,direct_lgbm_quantile_p90_smoke,35.16657318225442,47.71641376927523,-19.837575387388757,32.149958928115886,30.791097653146977,27.846591510348304,65.36989635769197,24.74946531915015,0.3333333333333333,0.4,0.3636363636363636,3.0,3.5,0.4,21.0,4.5,68.55496414385313,2,4128.356299100007
4. Load Profile (With Solar) Mi2,direct_lgbm_md_risk_smoke,151.65399221577195,201.06813305811124,117.32216223467103,14.554002808850584,15.684454423373545,19.87220755781005,19.0518456764798,14.266869572086446,0.21703296703296704,0.6,0.3187134502923976,2.0,6.0,0.2,8.5,18.5,155.93115686400552,2,37.85969324999314
4. Load Profile (With Solar) Mi2,direct_lgbm_quantile_p50_smoke,151.65399221577195,201.06813305811124,117.32216223467103,14.554002808850584,15.684454423373545,19.87220755781005,19.0518456764798,14.266869572086446,0.5714285714285714,0.6,0.5833333333333334,2.0,2.5,0.4,9.5,18.5,155.93115686400552,2,37.85969324999314
4. Load Profile (With Solar) Mi2,direct_lgbm_quantile_p80_smoke,308.3185860142677,370.23294186708586,307.098119324702,29.60835156518501,27.89441203052627,38.20109404533093,35.08554504691469,26.273014418031757,0.21428571428571427,0.3,0.25,3.5,3.0,0.2,9.5,13.5,47.984273304018416,2,37.85969324999314
4. Load Profile (With Solar) Mi2,direct_lgbm_quantile_p90_smoke,539.0579694330179,582.8151959259881,539.0579694330179,51.725425619299145,42.951840766494065,62.4124376949329,55.21563790510949,41.34892575917472,0.10416666666666667,1.0,0.18867924528301885,0.0,35.0,0.0,21.5,20.5,172.39130276635137,2,37.85969324999314
